pregunta,opciones,respuesta
"¿Cuál es la capital de Francia?","París|Madrid|Roma|Berlín","París"
"¿Cuánto es 5 x 5?","20|25|30|35","25"
"¿Cuál es el océano más grande del mundo?","Atlántico|Pacífico|Índico|Ártico","Pacífico"
"¿En qué año llegó el hombre a la Luna?","1969|1970|1968|1971","1969"
"¿Cuál es el metal más abundante en la corteza terrestre?","Aluminio|Hierro|Cobre|Oro","Aluminio"
"¿Qué país tiene la mayor población del mundo?","China|India|Estados Unidos|Rusia","China"
"¿Quién pintó la Mona Lisa?","Leonardo da Vinci|Miguel Ángel|Rafael|Donatello","Leonardo da Vinci"
"¿Cuál es el planeta más grande del sistema solar?","Júpiter|Saturno|Urano|Neptuno","Júpiter"
"¿Cuántos lados tiene un hexágono?","5|6|7|8","6"
"¿Qué gas respiran las plantas durante la fotosíntesis?","Dióxido de carbono|Oxígeno|Hidrógeno|Nitrógeno","Dióxido de carbono"
"¿En qué continente se encuentra Egipto?","África|Asia|Europa|América","África"
"¿Cuál es el río más largo del mundo?","Nilo|Amazonas|Yangtsé|Misisipi","Amazonas"
"¿Qué país ganó la Copa del Mundo de fútbol en 2018?","Francia|Croacia|Brasil|Alemania","Francia"
"¿Cuál es el símbolo químico del oro?","Au|Ag|Fe|Cu","Au"
"¿Quién escribió 'Don Quijote de la Mancha'?","Miguel de Cervantes|William Shakespeare|Gabriel García Márquez|Jorge Luis Borges","Miguel de Cervantes"
"¿Qué instrumento mide los terremotos?","Sismógrafo|Barómetro|Higrómetro|Anemómetro","Sismógrafo"
"¿Cuál es el idioma más hablado en el mundo?","Inglés|Chino mandarín|Español|Hindi","Chino mandarín"
"¿En qué año comenzó la Segunda Guerra Mundial?","1939|1940|1938|1941","1939"
"¿Qué es un prisma?","Una figura geométrica|Un animal|Un instrumento musical|Un mineral","Una figura geométrica"
"¿Qué país tiene forma de bota?","Italia|Grecia|España|Portugal","Italia"
